type,sex,version,age,1 mile,5k,6k,4 miles,8k,5 miles,10k,12k,15k,10 miles,20k,half marathon,25k,30k,marathon,50k,50 miles,100k,150k,100 miles,200k
road,female,2020,5,350,1224,1502,1579,1970,1981,2470,2992,3788,4072,5111,5361,6427,7791,11141,13546,24598,32675,54986,60249,79778
road,female,2020,6,337,1177,1437,1552,1976,1987,2482,3021,3868,4189,5446,5779,6927,8173,11325,13769,25004,33213,55892,61242,81092
road,female,2020,7,325,1134,1380,1489,1889,1900,2378,2891,3698,4003,5187,5496,6588,7806,10844,13184,23942,31802,53518,58641,77649
road,female,2020,8,314,1097,1330,1433,1815,1825,2288,2779,3551,3841,4962,5253,6297,7486,10428,12678,23023,30582,51465,56391,74669
road,female,2020,9,305,1064,1287,1385,1750,1760,2209,2682,3423,3701,4768,5042,6044,7208,10065,12237,22222,29518,49675,54429,72072
road,female,2020,10,296,1035,1248,1342,1694,1704,2140,2596,3311,3578,4599,4858,5823,6963,9747,11850,21519,28585,48104,52708,69793
road,female,2020,11,289,1008,1215,1305,1645,1655,2080,2521,3213,3471,4451,4698,5632,6749,9470,11514,20909,27774,46739,51213,67813
road,female,2020,12,282,985,1185,1273,1603,1612,2027,2456,3128,3377,4321,4558,5463,6561,9227,11218,20372,27060,45538,49897,66070
road,female,2020,13,276,964,1159,1244,1566,1575,1980,2398,3052,3295,4208,4435,5316,6395,9014,10959,19901,26435,44487,48745,64545
road,female,2020,14,271,945,1136,1219,1534,1543,1940,2348,2986,3223,4108,4327,5187,6249,8829,10734,19493,25893,43574,47744,63220
road,female,2020,15,266,929,1116,1197,1506,1515,1905,2304,2929,3160,4021,4233,5074,6121,8668,10539,19138,25421,42780,46875,62069
road,female,2020,16,261,913,1097,1178,1481,1490,1873,2265,2877,3103,3941,4147,4971,6003,8521,10360,18814,24990,42055,46081,61017
road,female,2020,17,257,898,1079,1159,1457,1465,1842,2226,2826,3048,3865,4064,4871,5890,8379,10188,18500,24574,41354,45313,60000
road,female,2020,18,254,888,1066,1145,1437,1445,1816,2194,2784,3001,3799,3992,4785,5792,8255,10037,18227,24211,40743,44643,59113
road,female,2020,19,253,884,1062,1140,1426,1434,1797,2173,2755,2968,3750,3938,4721,5718,8162,9923,18019,23936,40280,44136,58442
road,female,2020,20,253,884,1062,1140,1422,1430,1787,2162,2739,2947,3715,3901,4676,5666,8096,9843,17874,23743,39956,43780,57971
road,female,2020,21,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3696,3878,4649,5635,8057,9796,17788,23629,39764,43570,57692
road,female,2020,22,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,23,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,24,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,25,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,26,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,27,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,28,253,884,1062,1140,1422,1430,1783,2160,2735,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,29,253,884,1062,1140,1422,1430,1785,2161,2736,2940,3690,3871,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,30,253,884,1062,1140,1423,1431,1787,2163,2737,2942,3691,3872,4640,5625,8044,9780,17760,23591,39700,43500,57600
road,female,2020,31,253,884,1063,1141,1425,1433,1789,2166,2741,2945,3694,3875,4642,5626,8044,9780,17760,23591,39700,43500,57600
