type,sex,version,age,1 mile,5k,6k,4 miles,8k,5 miles,10k,7 miles,12k,15k,10 miles,20k,half marathon,25k,30k,marathon,50k,50 miles,100k,150k,100 miles,200k
road,female,2025,5,350,1208,1466,1579,1988,2002,2520,2899,3128,4087,4454,5798,6204,7608,9500,14424,17373,31637,43647,73451,80481,106568
road,female,2025,6,337,1155,1400,1508,1897,1911,2403,2758,2973,3867,4207,5451,5826,7112,8834,13272,15986,29111,40162,67586,74055,98059
road,female,2025,7,325,1108,1343,1446,1818,1832,2302,2637,2840,3680,3998,5160,5509,6700,8289,12353,14879,27096,37381,62906,68927,91269
road,female,2025,8,314,1067,1293,1392,1750,1763,2215,2533,2725,3519,3819,4911,5239,6354,7836,11605,13977,25454,35116,59095,64751,85740
road,female,2025,9,305,1031,1249,1345,1690,1702,2138,2442,2625,3380,3665,4698,5007,6061,7456,10991,13238,24108,33260,55971,61328,81207
road,female,2025,10,296,999,1210,1303,1637,1649,2071,2362,2537,3259,3530,4514,4808,5810,7135,10481,12624,22990,31717,53375,58483,77440
road,female,2025,11,289,970,1176,1266,1591,1602,2013,2293,2461,3153,3414,4355,4636,5596,6863,10058,12115,22062,30436,51219,56122,74313
road,female,2025,12,282,945,1145,1233,1550,1561,1962,2232,2395,3062,3313,4216,4486,5411,6632,9704,11688,21285,29364,49415,54145,71695
road,female,2025,13,276,922,1118,1204,1514,1525,1917,2179,2336,2982,3224,4096,4356,5253,6435,9410,11334,20640,28474,47918,52505,69523
road,female,2025,14,271,902,1094,1178,1482,1493,1878,2133,2286,2912,3147,3991,4243,5116,6268,9165,11039,20103,27735,46673,51140,67717
road,female,2025,15,266,884,1073,1156,1455,1465,1844,2092,2242,2852,3080,3901,4145,4999,6128,8966,10799,19666,27132,45658,50029,66245
road,female,2025,16,261,867,1053,1134,1429,1439,1813,2056,2202,2797,3019,3818,4056,4894,6002,8790,10587,19281,26599,44763,49047,64945
road,female,2025,17,257,850,1033,1113,1404,1414,1783,2021,2163,2744,2961,3739,3971,4793,5880,8621,10384,18910,26088,43901,48104,63696
road,female,2025,18,254,838,1018,1097,1384,1394,1758,1990,2130,2698,2910,3671,3897,4704,5770,8458,10188,18553,25595,43073,47195,62493
road,female,2025,19,253,834,1012,1090,1372,1383,1740,1969,2106,2665,2873,3620,3841,4632,5676,8302,9999,18209,25121,42275,46321,61335
road,female,2025,20,253,834,1011,1088,1367,1377,1729,1956,2091,2643,2849,3584,3802,4578,5599,8161,9829,17900,24695,41558,45535,60295
road,female,2025,21,253,834,1010,1087,1365,1375,1726,1951,2085,2632,2836,3564,3780,4541,5543,8046,9691,17649,24348,40974,44896,59449
road,female,2025,22,253,834,1010,1087,1365,1375,1726,1950,2084,2629,2832,3557,3772,4522,5506,7954,9581,17447,24070,40506,44383,58770
road,female,2025,23,253,834,1010,1087,1365,1375,1726,1950,2084,2629,2832,3557,3772,4512,5481,7884,9496,17294,23858,40150,43993,58252
road,female,2025,24,253,834,1010,1087,1365,1375,1726,1950,2084,2629,2832,3557,3772,4505,5464,7835,9437,17186,23710,39899,43719,57889
road,female,2025,25,253,834,1010,1087,1365,1375,1726,1950,2084,2629,2832,3557,3772,4501,5453,7805,9401,17121,23619,39748,43552,57669
road,female,2025,26,253,834,1010,1087,1365,1375,1726,1950,2084,2629,2832,3557,3772,4500,5450,7796,9390,17100,23591,39700,43500,57600
road,female,2025,27,253,834,1010,1087,1365,1375,1726,1950,2084,2629,2832,3557,3772,4500,5450,7796,9390,17100,23591,39700,43500,57600
road,female,2025,28,253,835,1011,1088,1366,1376,1726,1950,2084,2630,2833,3558,3773,4501,5451,7798,9392,17103,23596,39708,43509,57612
road,female,2025,29,253,836,1012,1089,1367,1377,1728,1952,2086,2631,2835,3560,3775,4504,5454,7802,9398,17114,23610,39732,43535,57646
road,female,2025,30,253,837,1014,1091,1369,1379,1729,1954,2088,2635,2838,3564,3780,4509,5460,7809,9406,17129,23631,39768,43574,57698
road,female,2025,31,253,839,1016,1093,1371,1381,1732,1957,2092,2639,2843,3571,3786,4516,5469,7819,9418,17151,23662,39819,43631,57773
road,female,2025,32,253,842,1018,1096,1374,1384,1736,1961,2096,2644,2849,3578,3794,4525,5479,7833,9434,17181,23702,39887,43705,57872
road,female,2025,33,253,845,1022,1099,1378,1388,1740,1966,2101,2651,2856,3587,3804,4537,5492,7849,9454,17217,23753,39972,43798,57994
road,female,2025,34,253,848,1025,1103,1383,1393,1745,1972,2107,2659,2864,3598,3816,4550,5507,7869,9478,17261,23812,40073,43908,58141
road,female,2025,35,255,852,1030,1107,1388,1398,1751,1978,2115,2668,2875,3611,3830,4566,5525,7891,9505,17309,23880,40186,44033,58305
road,female,2025,36,255,856,1034,1112,1394,1404,1758,1986,2123,2679,2886,3626,3845,4583,5545,7917,9536,17366,23958,40317,44176,58495
road,female,2025,37,256,861,1040,1118,1400,1410,1765,1995,2132,2691,2899,3643,3863,4603,5568,7946,9571,17429,24045,40465,44338,58710
road,female,2025,38,257,866,1046,1124,1408,1418,1774,2005,2143,2704,2914,3661,3883,4626,5594,7979,9610,17501,24144,40630,44519,58950
road,female,2025,39,258,872,1052,1131,1416,1426,1783,2015,2154,2719,2930,3682,3905,4651,5622,8015,9654,17580,24253,40814,44721,59217
road,female,2025,40,260,878,1060,1139,1424,1435,1794,2027,2167,2735,2947,3704,3929,4678,5653,8054,9700,17665,24371,41012,44938,59504
road,female,2025,41,261,885,1068,1147,1434,1444,1805,2040,2181,2753,2967,3729,3955,4707,5687,8096,9752,17759,24500,41230,45176,59819
road,female,2025,42,263,892,1076,1156,1444,1455,1817,2054,2196,2773,2988,3756,3984,4740,5724,8143,9808,17861,24641,41466,45436,60163
road,female,2025,43,264,900,1085,1166,1456,1466,1831,2069,2212,2794,3011,3785,4015,4775,5764,8193,9869,17972,24793,41724,45717,60536
road,female,2025,44,266,909,1095,1177,1468,1479,1845,2086,2230,2816,3035,3817,4049,4813,5807,8247,9933,18089,24956,41997,46017,60933
road,female,2025,45,268,919,1106,1188,1481,1492,1860,2103,2249,2841,3062,3851,4085,4854,5853,8306,10004,18219,25134,42297,46346,61368
road,female,2025,46,271,929,1118,1200,1496,1506,1877,2123,2269,2867,3090,3887,4124,4898,5903,8368,10079,18356,25323,42615,46694,61829
road,female,2025,47,273,939,1130,1212,1511,1521,1895,2143,2291,2895,3121,3926,4166,4945,5956,8435,10160,18502,25526,42956,47068,62324
road,female,2025,48,276,949,1142,1225,1526,1537,1914,2165,2315,2926,3154,3969,4211,4995,6013,8506,10245,18658,25740,43317,47463,62848
road,female,2025,49,279,960,1154,1239,1543,1554,1935,2188,2340,2959,3189,4014,4259,5049,6075,8583,10338,18826,25973,43708,47892,63415
