type,sex,version,age,1 mile,5k,6k,4 miles,8k,5 miles,10k,12k,15k,10 miles,20k,half marathon,25k,30k,marathon,50k,50 miles,100k,150k,100 miles,200k
road,male,2020,5,374,1272,1541,1656,2076,2087,2605,3175,4022,4335,5446,5748,6886,8372,12053,14812,26552,35271,59941,65803,87186
road,male,2020,6,344,1168,1414,1521,1906,1916,2393,2915,3693,3980,5000,5277,6322,7686,11066,13599,24378,32383,55033,60415,80049
road,male,2020,7,320,1086,1315,1413,1771,1781,2225,2710,3433,3699,4648,4906,5877,7145,10286,12641,22661,30101,51156,56158,74408
road,male,2020,8,300,1020,1235,1327,1664,1673,2090,2545,3224,3474,4365,4607,5519,6710,9660,11871,21281,28269,48041,52740,69878
road,male,2020,9,284,966,1170,1258,1576,1585,1980,2411,3054,3291,4135,4364,5228,6357,9151,11246,20160,26780,45512,49962,66199
road,male,2020,10,271,922,1117,1200,1504,1513,1890,2301,2915,3141,3947,4166,4990,6067,8735,10735,19244,25562,43442,47690,63188
road,male,2020,11,261,886,1073,1153,1445,1454,1817,2211,2801,3019,3793,4003,4795,5830,8394,10315,18491,24563,41743,45826,60718
road,male,2020,12,252,856,1037,1115,1397,1405,1756,2138,2708,2918,3666,3869,4635,5636,8114,9971,17875,23744,40351,44297,58693
road,male,2020,13,245,832,1008,1084,1358,1366,1707,2078,2632,2836,3563,3761,4505,5478,7886,9691,17373,23077,39218,43053,57044
road,male,2020,14,239,813,985,1058,1327,1334,1667,2029,2571,2770,3480,3673,4401,5350,7703,9466,16969,22541,38307,42054,55720
road,male,2020,15,235,798,966,1039,1302,1309,1636,1992,2523,2719,3415,3605,4319,5251,7559,9290,16653,22121,37593,41270,54681
road,male,2020,16,232,787,952,1024,1283,1290,1613,1963,2487,2680,3367,3553,4257,5176,7451,9157,16415,21805,37056,40680,53900
road,male,2020,17,229,777,941,1011,1268,1275,1597,1939,2457,2647,3326,3510,4205,5113,7361,9046,16216,21541,36608,40188,53247
road,male,2020,18,227,771,934,1004,1258,1265,1587,1924,2438,2627,3300,3483,4173,5074,7304,8976,16091,21375,36325,39878,52837
road,male,2020,19,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,20,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,21,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,22,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,23,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,24,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,25,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,26,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,27,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,28,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,29,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,30,227,771,933,1003,1257,1264,1584,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,31,228,772,934,1004,1258,1265,1585,1923,2436,2625,3298,3481,4170,5070,7299,8970,16080,21360,36300,39850,52800
road,male,2020,32,228,773,935,1005,1259,1266,1586,1925,2437,2626,3299,3482,4171,5071,7300,8972,16083,21364,36307,39858,52811
