type,sex,version,age,1 mile,5k,6k,4 miles,8k,5 miles,10k,7 miles,12k,15k,10 miles,20k,half marathon,25k,30k,marathon,50k,50 miles,100k,150k,100 miles,200k
road,male,2025,5,321,1265,1599,1645,2064,2079,3122,3579,3150,3972,4268,5362,5676,6760,8191,11900,14507,26447,35132,59704,65444,86842
road,male,2025,6,309,1154,1452,1586,2093,2111,2790,3181,3419,4385,4737,6053,6434,7764,9540,14242,17362,31654,42047,71457,78327,103937
road,male,2025,7,298,1068,1339,1460,1916,1932,2537,2882,3091,3935,4240,5376,5704,6890,8479,12689,15468,28201,37461,63662,69783,92599
road,male,2025,8,288,1000,1249,1360,1777,1791,2340,2650,2839,3594,3867,4877,5168,6246,7691,11523,14047,25609,34018,57812,63370,84090
road,male,2025,9,279,946,1178,1281,1666,1679,2184,2468,2641,3331,3579,4498,4761,5755,7087,10621,12948,23605,31356,53288,58412,77510
road,male,2025,10,272,903,1120,1217,1576,1589,2058,2322,2482,3123,3353,4203,4446,5373,6615,9910,12081,22024,29256,49719,54499,72319
road,male,2025,11,265,868,1073,1165,1503,1515,1955,2204,2355,2958,3174,3971,4199,5073,6242,9342,11388,20762,27579,46869,51375,68173
road,male,2025,12,258,840,1036,1123,1444,1455,1871,2108,2252,2825,3031,3788,4005,4835,5945,8883,10829,19742,26225,44567,48852,64825
road,male,2025,13,253,817,1006,1089,1396,1407,1801,2030,2168,2719,2916,3644,3853,4647,5708,8512,10376,18918,25129,42706,46812,62118
road,male,2025,14,248,800,982,1062,1357,1367,1745,1966,2100,2634,2826,3532,3734,4499,5519,8211,10010,18250,24242,41199,45159,59925
road,male,2025,15,244,788,964,1042,1326,1336,1699,1915,2046,2569,2756,3447,3645,4385,5373,7970,9716,17713,23529,39987,43831,58163
road,male,2025,16,240,780,951,1026,1302,1312,1662,1875,2004,2519,2704,3386,3581,4302,5261,7780,9484,17290,22968,39032,42785,56774
road,male,2025,17,236,773,941,1015,1284,1293,1634,1845,1973,2484,2667,3345,3539,4242,5175,7616,9284,16926,22484,38211,41884,55579
road,male,2025,18,233,769,935,1007,1271,1280,1613,1822,1949,2456,2638,3310,3504,4190,5100,7474,9112,16612,22066,37500,41105,54545
road,male,2025,19,232,769,932,1004,1263,1273,1600,1806,1932,2432,2613,3277,3468,4144,5038,7368,8982,16375,21752,36965,40519,53768
road,male,2025,20,232,769,931,1001,1258,1267,1589,1795,1920,2419,2598,3261,3451,4118,5001,7293,8891,16210,21532,36593,40111,53226
road,male,2025,21,232,769,930,1000,1255,1264,1584,1790,1915,2415,2595,3260,3451,4112,4985,7249,8838,16112,21403,36373,39870,52906
road,male,2025,22,232,769,930,1000,1255,1264,1584,1790,1915,2415,2595,3260,3451,4110,4980,7235,8820,16080,21360,36300,39790,52800
road,male,2025,23,232,769,930,1000,1255,1264,1584,1790,1915,2415,2595,3260,3451,4110,4980,7235,8820,16080,21360,36300,39790,52800
road,male,2025,24,232,769,930,1000,1255,1264,1584,1790,1915,2415,2595,3260,3451,4110,4980,7235,8820,16080,21360,36300,39790,52800
