type,sex,version,Age,60m,100m,200m,400m,800m,1000m,1500m,1 mile,3000m,5000m,10000m
track,female,2023,5,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,6,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,7,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,8,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,9,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,10,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,11,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,12,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,13,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,14,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,15,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,16,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,17,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,18,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,19,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,20,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,21,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,22,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
